ID,Lake,pH,Calcium,Chlorophyll
1,Alligator,6.1,Low,0.7
2,Annie,5.1,Low,3.2
3,Apopka,9.1,High,128.3
4,Blue Cypress,6.9,Medium,3.5
5,Brick,4.6,Low,1.8
6,Bryant,7.3,NA,44.1
7,Cherry,5.4,Low,3.4
8,Crescent,8.1,High,33.7
9,Deer Point,5.8,Medium,1.6
10,Dias,6.4,Low,NA
11,Dorr,5.4,Low,14.9
12,Down,7.2,Medium,4
13,Eaton,7.2,High,11.6
14,East Tohopekaliga,NA,Medium,5.8
15,Farm-13,7.6,High,71.1
16,George,8.2,High,78.6
17,Griffin,8.7,High,80.1
18,Harney,7.8,High,13.9
19,Hart,5.8,Low,4.6
20,Hatchineha,6.7,Medium,17
21,Iamonia,4.4,Low,9.6
22,Istokpoga,6.7,Medium,9.5
23,Jackson,6.1,Low,21
24,Josephine,6.9,Medium,32.1
25,Kingsley,5.5,Medium,NA
26,Kissimmee,6.9,Medium,21.5
27,Lochloosa,7.3,Medium,24.7
28,Louisa,4.5,Low,7
29,Miccasukee,4.8,Low,14.8
30,Minneola,5.8,Low,0.7
31,Monroe,7.8,High,43.8
32,Newmans,NA,Medium,32.7
33,Ocean Pond,3.6,Low,3.2
34,Ocheese Pond,4.4,Low,3.2
35,Okeechobee,7.9,High,16.1
36,Orange,7.1,Medium,45.2
37,Panasoffkee,6.8,High,16.5
38,Parker,8.4,High,152.4
39,Placid,7,Low,12.8
40,Puzzle,7.5,NA,20.1
41,Rodman,7,High,6.4
42,Rousseau,6.8,High,6.2
43,Sampson,5.9,Medium,1.6
44,Shipp,8.3,High,68.2
45,Talquin,NA,High,24.1
46,Tarpon,6.2,Medium,NA
51,Tohopekaliga,6.2,Medium,27.7
47,Trafford,8.9,Medium,9.6
48,Trout,4.3,Low,6.4
49,Tsala Apopka,7,Medium,4.6
50,Weir,6.9,Medium,16.5
52,Wildcat,5.2,Low,2.6
53,Yale,7.9,Medium,8.8
